"Final.Status","ID","Year","ACT","GPA","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","App","Deposited","FAFSA.Received","CREDO.Invited","CREDO.Accepted","Regular.Visits.by.Date","Performance.Scholarship.Event","Academic.Scholarship.Event","Other.Admits.Density"
0,"App ID-228348","2016 Fall",27,3.94,2.52,42.616,48.506,86.27,1.07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0865872263225168
0,"App ID-228349","2016 Fall",22,3.44,1177.07,45.587,21.655,92.05,0.04,0,0,1,1,0,1,1,1,0,1,0,0,3,0,0,0.00923574232278919
1,"App ID-228350","2016 Fall",24,3.66,140.9,57.5,5.552,96.18,0.72,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0.0900576368876081
0,"App ID-228352","2016 Fall",25,3.76,149.24,75.05,17.801,93.89,0.53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0674119431492613
0,"App ID-228354","2016 Fall",23,3.24,196.6,58.218,7.006,97.7,0.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0428204396231801
0,"App ID-228358","2016 Fall",19,3.42,610.59,44.896,12.525,85.29,0.12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.031936127744511
0,"App ID-228373","2016 Fall",20,3.92,284.04,70.886,23.643,92.52,0.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0719028888042973
0,"App ID-228376","2016 Fall",25,3.87,284.04,70.886,23.643,92.52,0.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0719028888042973
1,"App ID-228390","2016 Fall",24,3.65,0.64,53.139,41.737,90.84,2.28,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0.143757337614107
0,"App ID-228392","2016 Fall",21,2.73,2.52,42.616,48.506,86.27,1.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0865872263225168
0,"App ID-228397","2016 Fall",28,3.94,146.11,46.132,22.99,86.33,0.6,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.100043497172684
0,"App ID-228405","2016 Fall",19,3.54,561.56,57.049,30.829,89.87,0.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00648739822894028
0,"App ID-228422","2016 Fall",25,3.43,1311.8,81.354,31.358,81.11,0.06,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.00637795777791951
0,"App ID-228424","2016 Fall",28,4,63.37,51.288,9.464,88.36,0.42,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0.0633981403212172
1,"App ID-228425","2016 Fall",27,3.88,174.31,51.012,3.284,97.81,0.06,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0609013398294762
0,"App ID-228428","2016 Fall",28,2.78,184.03,40.232,17.145,95.68,0.08,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.00583260425780111
1,"App ID-228431","2016 Fall",20,3.19,21.32,65.859,2.625,97.3,0.61,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0.152380952380952
0,"App ID-228432","2016 Fall",26,3.5,2.52,42.616,48.506,86.27,1.07,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0865872263225168
1,"App ID-228438","2016 Fall",27,3.71,201.96,53.992,39.628,89.77,0.98,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.0201877460381548
1,"App ID-228440","2016 Fall",25,3.97,43.46,52.268,16.639,92.37,1.08,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.120199531221828
0,"App ID-228442","2016 Fall",22,3.74,146.56,44.891,9.329,97.56,0.17,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0.032157787544217
0,"App ID-228444","2016 Fall",22,3.06,227.3,78.919,35.273,93.43,0.25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0170101777563576
0,"App ID-228449","2016 Fall",27,3.96,541.6,152.658,20.516,92.43,0.12,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.00487424449210372
0,"App ID-228452","2016 Fall",26,2.68,210.83,75.591,30.452,86.81,0.4,0,1,0,1,0,1,1,1,0,0,0,0,2,0,0,0.0131354262445816
0,"App ID-228511","2016 Fall",19,3.51,715.13,64.643,30.674,86.9,0.08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00652017995696681
0,"App ID-228523","2016 Fall",24,3.85,196.6,58.218,7.006,97.7,0.29,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0.0428204396231801
0,"App ID-228620","2016 Fall",21,3,179.03,75.287,18.758,95.2,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0319863524896044
0,"App ID-228631","2016 Fall",19,2.92,205.9,42.771,27.137,50.85,0.07,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0294800456940708
0,"App ID-228662","2016 Fall",20,3.22,216.08,84.662,21.393,92.31,0.17,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0186977048567288
0,"App ID-228669","2016 Fall",19,3.18,183.13,44.032,0.917,98.47,0.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.109051254089422
0,"App ID-228715","2016 Fall",25,3.14,306.37,57.708,3.199,95.19,0.41,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0312597686777118
0,"App ID-228729","2016 Fall",22,3.1,76.91,44.688,2.243,96.57,0.8,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0891662951404369
0,"App ID-228743","2016 Fall",20,2.7,178.26,54,18.013,95.33,0.36,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0.00555154610559041
0,"App ID-228785","2016 Fall",27,3.34,173.52,49.628,15.523,88.47,0.24,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0.083746698447465
0,"App ID-228791","2016 Fall",24,3.33,204.35,44.531,29.623,66.39,0.16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0236302872767782
0,"App ID-228808","2016 Fall",31,3.92,221.58,71.803,12.123,97.95,0.13,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.041243916522313
0,"App ID-228815","2016 Fall",24,2.75,134.51,39.196,0.497,98.59,0.19,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.201207243460765
0,"App ID-228822","2016 Fall",22,3.43,257.13,54.126,28.947,90.82,0.28,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0.0310913047984247
0,"App ID-228828","2016 Fall",29,3.71,140.89,55.396,5.635,98.86,0.39,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.177462289263531
0,"App ID-228833","2016 Fall",27,3.96,59.25,57.331,6.338,94.32,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0631113916061849
1,"App ID-228834","2016 Fall",25,3.81,59.25,57.331,6.338,94.32,1.2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0631113916061849
0,"App ID-228835","2016 Fall",23,3.67,59.25,57.331,6.338,94.32,1.2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0631113916061849
0,"App ID-228837","2016 Fall",20,3.08,140.82,50.547,5.239,97.79,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0381752242794426
0,"App ID-228838","2016 Fall",29,2.91,194.35,47.055,9.502,96.31,0.11,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0420964007577352
0,"App ID-228874","2016 Fall",27,3.89,192.27,99.016,13.932,94.27,0.24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0215331610680448
0,"App ID-228897","2016 Fall",21,3.37,215.07,61.448,39.628,81.98,0.35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0151408095286161
0,"App ID-228909","2016 Fall",29,3.23,149.24,75.05,17.801,93.89,0.53,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0674119431492613
0,"App ID-228912","2016 Fall",30,4,3.12,45.753,4.104,94.23,1.41,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.219298245614035
0,"App ID-228954","2016 Fall",21,3.56,209.44,55.125,1.446,95.16,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0691562932226833
1,"App ID-228962","2016 Fall",27,3.69,571.91,82.198,14.084,89.91,0.31,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0.0426015336552116
0,"App ID-228976","2016 Fall",24,3.62,610.59,44.896,12.525,85.29,0.12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.031936127744511
0,"App ID-228981","2016 Fall",21,3,718.55,65.109,25.38,94.67,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00788022064617809
0,"App ID-228987","2016 Fall",18,3.35,431.26,46.504,11.56,95.29,0.07,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0432525951557093
0,"App ID-228991","2016 Fall",24,3.93,814.28,37.645,10.271,79.56,0.04,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0.0194723006523221
1,"App ID-229043","2016 Fall",24,3.92,189.73,57.549,28.73,94.47,0.33,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0.0382875043508528
0,"App ID-229052","2016 Fall",22,3.5,189.65,58.012,25.54,89.52,0.22,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0274079874706343
0,"App ID-229064","2016 Fall",18,3.1,284.04,70.886,23.643,92.52,0.15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0719028888042973
