Application ID,Award Status,Total Discount Rate,Total Institutional Gift,Gross Need,Cobber Edge Award,Priority Cobber Award,Presidential Total,Regents Scholarship Total,Speech Debate Scholarship Total,Theatre Performance Total,Visual Arts Award Total,Music Performance Total
App ID-140728,No Award,0,,8872,0,0,0,0,0,0,0,0
App ID-181534,No Award,0,,32698,0,0,0,0,0,0,0,0
App ID-156945,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-187243,No Award,0,,18080,0,0,0,0,0,0,0,0
App ID-185385,No Award,0,,42838,0,0,0,0,0,0,0,0
App ID-191718,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-154053,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-149866,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-149913,No Award,0,,13470,0,0,0,0,0,0,0,0
App ID-145240,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-130422,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-154877,No Award,0,,24474,0,0,0,0,0,0,0,0
App ID-152677,No Award,0,,27613,0,0,0,0,0,0,0,0
App ID-149868,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-122783,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-154874,No Award,0,,41239,0,0,0,0,0,0,0,0
App ID-149859,No Award,0,,20818,0,0,0,0,0,0,0,0
App ID-123726,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-151756,No Award,0,,25417,0,0,0,0,0,0,0,0
App ID-125648,No Award,0,,43154,0,0,0,0,0,0,0,0
App ID-122948,No Award,0,,38235,0,0,0,0,0,0,0,0
App ID-155873,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-151834,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-172290,No Award,0,,35002,0,0,0,0,0,0,0,0
App ID-172494,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-168692,No Award,0,,44912,0,0,0,0,0,0,0,0
App ID-174050,No Award,0,,6144,0,0,0,0,0,0,0,0
App ID-168907,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-164530,No Award,0,,25275,0,0,0,0,0,0,0,0
App ID-174699,No Award,0,,45816,0,0,0,0,0,0,0,0
App ID-174730,No Award,0,,45421,0,0,0,0,0,0,0,0
App ID-171966,No Award,0,,45974,0,0,0,0,0,0,0,0
App ID-125080,No Award,0,,27043,0,0,0,0,0,0,0,0
App ID-174732,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-174824,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-164372,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-174773,No Award,0,,46195,0,0,0,0,0,0,0,0
App ID-124784,No Award,0,,23557,0,0,0,0,0,0,0,0
App ID-167596,No Award,0,,8979,0,0,0,0,0,0,0,0
App ID-145442,No Award,0,,40210,0,0,0,0,0,0,0,0
App ID-160955,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-147171,No Award,0,,32593,0,0,0,0,0,0,0,0
App ID-134831,No Award,0,,33336,0,0,0,0,0,0,0,0
App ID-161951,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-131508,No Award,0,,46254,0,0,0,0,0,0,0,0
App ID-172589,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-155146,No Award,0,,44135,0,0,0,0,0,0,0,0
App ID-174833,No Award,0,,35676.88,0,0,0,0,0,0,0,0
App ID-134300,No Award,0,,8809,0,0,0,0,0,0,0,0
App ID-156166,No Award,0,,45884,0,0,0,0,0,0,0,0
App ID-158036,No Award,0,,35191,0,0,0,0,0,0,0,0
App ID-159816,No Award,0,,22327,0,0,0,0,0,0,0,0
App ID-134318,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-160724,No Award,0,,46090,0,0,0,0,0,0,0,0
App ID-160526,No Award,0,,29839,0,0,0,0,0,0,0,0
App ID-157948,No Award,0,,31183,0,0,0,0,0,0,0,0
App ID-161871,No Award,0,,4700,0,0,0,0,0,0,0,0
App ID-137705,No Award,0,,27380,0,0,0,0,0,0,0,0
App ID-161877,No Award,0,,31489,0,0,0,0,0,0,0,0
App ID-158126,No Award,0,,31332,0,0,0,0,0,0,0,0
App ID-157503,No Award,0,,41604,0,0,0,0,0,0,0,0
App ID-153053,No Award,0,,,0,0,0,0,0,0,0,0
App ID-137183,No Award,0,,40028,0,0,0,0,0,0,0,0
App ID-196631,No Award,0,,18628,0,0,0,0,0,0,0,0
App ID-157820,No Award,0,,42440,0,0,0,0,0,0,0,0
App ID-157387,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-161949,No Award,0,,26408,0,0,0,0,0,0,0,0
App ID-161861,No Award,0,,21123,0,0,0,0,0,0,0,0
App ID-160956,No Award,0,,2471,0,0,0,0,0,0,0,0
App ID-153124,No Award,0,,26401,0,0,0,0,0,0,0,0
App ID-137297,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-145806,No Award,0,,28451,0,0,0,0,0,0,0,0
App ID-150818,No Award,0,,18667,0,0,0,0,0,0,0,0
App ID-160738,No Award,0,,16420,0,0,0,0,0,0,0,0
App ID-144922,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-154312,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157940,No Award,0,,3749,0,0,0,0,0,0,0,0
App ID-161072,No Award,0,,18513,0,0,0,0,0,0,0,0
App ID-161065,No Award,0,,44899,0,0,0,0,0,0,0,0
App ID-161973,No Award,0,,39580,0,0,0,0,0,0,0,0
App ID-161862,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-123874,No Award,0,,32759,0,0,0,0,0,0,0,0
App ID-122715,No Award,0,,10267,0,0,0,0,0,0,0,0
App ID-124596,No Award,0,,37776,0,0,0,0,0,0,0,0
App ID-157053,No Award,0,,517,0,0,0,0,0,0,0,0
App ID-124163,No Award,0,,20717,0,0,0,0,0,0,0,0
App ID-168311,No Award,0,,20849,0,0,0,0,0,0,0,0
