"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
0,"App ID-253263","2016 Fall",28,3.26,0,1,NA,0,0,0,456.93,46929,42260,0.9038,3,1e-04,NA,0,0,0,0,0,0,0
1,"App ID-253269","2016 Fall",28,2.33,17,1,44668,25199,17180,43371,227.09,57375,4410,0.939,1,2e-04,1111,0,0,0,1,0,0,1
0,"App ID-253270","2016 Fall",19,2.97,61,1,44668,0,0,43138,216.2,52569,36101,0.7243,82,0.0023,NA,0,0,0,1,1,0,0
0,"App ID-253271","2016 Fall",18,3.06,42,1,NA,0,0,0,303.03,56250,5104,0.8979,5,0.001,NA,0,0,0,0,0,1,1
0,"App ID-253276","2016 Fall",25,3.74,72,1,NA,0,0,0,811.49,36732,3286,0.5712,2,6e-04,NA,0,0,0,0,1,0,0
0,"App ID-253279","2016 Fall",18,3.72,70,1,NA,0,0,0,257.42,45313,4399,0.9648,10,0.0023,322,0,0,0,0,0,0,0
0,"App ID-253295","2016 Fall",19,2.54,32,1,NA,0,0,0,218.47,45660,42928,0.5512,73,0.0017,NA,0,0,0,0,1,0,0
0,"App ID-253298","2016 Fall",19,2.92,46,1,NA,0,0,0,231.24,59167,31844,0.9025,52,0.0016,NA,0,0,0,0,0,0,0
0,"App ID-253302","2016 Fall",24,2.59,0,1,NA,0,0,0,208.82,80338,11374,0.9546,8,7e-04,NA,0,0,0,1,0,1,1
0,"App ID-253305","2016 Fall",0,3.33,0,1,NA,0,0,0,154.63,46796,20242,0.961,61,0.003,NA,0,0,0,1,0,0,1
0,"App ID-253312","2016 Fall",19,2.88,49,1,NA,0,0,0,563.19,41834,40234,0.8513,16,4e-04,NA,0,0,0,1,0,0,1
