"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-75835","2014 Fall",19,3.01,0,194.95,59908,23664,0.9264,0.0019,1,0,0,0,0,0,1,0,1,0,0,0,0
0,"App ID-75836","2014 Fall",24,3.8,0,194.95,59908,23664,0.9264,0.0019,1,0,0,0,0,1,1,0,1,0,0,0,0
1,"App ID-75837","2014 Fall",25,3.99,0,51.14,47422,2049,0.9556,0.0063,0,0,0,0,0,1,1,0,0,1,0,0,1
0,"App ID-75838","2014 Fall",34,4,0,232.99,60901,19879,0.9005,0.0011,0,0,0,0,0,1,1,1,0,1,0,0,0
0,"App ID-75839","2014 Fall",27,4,0,231.24,59167,31844,0.9025,0.0016,0,1,0,0,0,1,1,0,0,1,0,0,0
0,"App ID-75840","2014 Fall",27,3.95,0,256.69,64542,1224,0.9837,0.0014,0,0,0,0,0,1,1,0,0,1,0,0,0
0,"App ID-75841","2014 Fall",26,3.67,0,80.45,55183,2700,0.9748,0.0026,1,0,0,1,0,0,1,0,0,0,0,0,0
1,"App ID-75842","2014 Fall",32,3.98,0,80.45,55183,2700,0.9748,0.0026,0,0,0,0,0,1,1,1,0,1,0,0,0
1,"App ID-75843","2014 Fall",29,3.71,0,189.72,55577,1345,0.7717,0.0045,0,0,0,0,0,1,1,0,0,0,0,0,0
0,"App ID-75844","2014 Fall",31,3.99,0,191.22,41417,1570,0.5414,0.0019,1,0,0,0,0,0,1,1,0,1,0,0,0
0,"App ID-75845","2014 Fall",24,3.44,0,182.78,41357,3912,0.9363,0.0023,0,1,0,0,1,0,1,0,1,0,0,0,0
1,"App ID-75846","2014 Fall",25,3.79,0,182.78,41357,3912,0.9363,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"App ID-75847","2014 Fall",28,3.97,0,64.98,91875,1903,0.9832,0.0068,0,1,0,1,0,0,1,0,0,1,0,0,1
0,"App ID-75848","2014 Fall",31,4,0,64.98,91875,1903,0.9832,0.0068,0,1,0,0,0,0,0,1,0,1,0,0,1
1,"App ID-75849","2014 Fall",23,3.36,0,64.98,91875,1903,0.9832,0.0068,0,0,0,0,0,1,1,0,1,0,0,0,1
0,"App ID-75850","2014 Fall",22,3.41,0,73.7,49018,36448,0.906,0.0045,1,0,0,0,0,0,0,0,1,0,0,0,1
0,"App ID-75851","2014 Fall",24,3.65,0,58.62,53655,8032,0.9412,0.0029,0,0,0,0,0,1,1,0,1,0,0,0,1
0,"App ID-75852","2014 Fall",30,4,0,211.28,55208,1648,0.9958,0.0049,0,1,0,0,0,0,1,1,0,1,0,0,0
0,"App ID-75853","2014 Fall",33,4,0,41.36,53324,9050,0.9303,0.0044,1,0,0,0,0,1,1,1,0,1,0,0,1
