"zip","distance"
"91362","1442.98"
"10550","1207.37"
"68025","374.58"
"75068","941.87"
"11412","1217.87"
"10453","1205.64"
"59036","619.37"
"85048","1230.2"
"85743","1259.55"
"7028","NA"
"58645","314.72"
"10467","1206.6"
"53066","480.24"
"36603","1209.22"
"59523","590.42"
"85748","1252.62"
"56264","163.16"
"20152","1113.6"
"46701","676.02"
"58219","41.2"
"56143","239.74"
"1583","NA"
"53546","477.99"
"85284","1225.62"
"95337","1389.57"
"13207","1037.67"
"57331","242.24"
"59526","573.44"
"59088","545.89"
"28274","1152.49"
"57025","288.44"
"97520","1309.03"
"1821","NA"
"16415","877.79"
"53719","442.41"
"58795","322.14"
"55019","239.73"
"54006","213.14"
"38115","890.46"
"80403","644.56"
"56244","105.2"
"51360","250.78"
"85382","1219.42"
"59865","811.49"
"53216","501.66"
"37212","900.73"
"27522","1188.31"
"58418","143.26"
"49505","605.17"
"59037","551.69"
"83837","906.79"
"32907","1565.18"
"89081","1194"
"56566","59.87"
"94805","1432.52"
"59349","403.8"
"98203","1186.99"
"13308","1056.19"
"93546","1295.23"
"97303","1261.43"
"56521","37.68"
"58043","73.64"
"55101","219.76"
"93021","1441.1"
"35243","1064.58"
"92260","1367.35"
"50036","360.5"
"53189","494.2"
"3777","NA"
"98021","1187.53"
"52803","478.83"
"10456","1206.7"
"95126","1438.69"
"54469","375.36"
"60068","554.59"
"33027","1698.25"
"54904","440.33"
"81008","711.26"
"50436","291.26"
"44314","854.02"
"54004","243.99"
"59027","688.35"
"55065","242.22"
"55607","257.19"
"54858","223.35"
"54235","472.26"
"81413","785.94"
"80204","642.89"
"54914","440.13"
"81058","704.07"
"53126","514.65"
"58316","189.39"
"80102","623.99"
"59522","668.79"
"61109","496.66"
"60621","570.6"
"53074","493.34"
"54703","289.64"
"81647","739.48"
"54902","438.93"
"58004","25.4"
"58425","75.27"
"92869","1420.5"
"54801","233.29"
"54106","433.41"
"95361","1371.88"
"55006","188.46"
"54829","244.55"
"98136","1197.49"
"33458","1647.05"
"17325","1088.2"
"32954","1548.07"
"52804","476.44"
"61856","625.14"
"56546","17.28"
"37067","912.71"
"92646","1433.56"
"21044","1129.39"
"99654","2274.52"
"55779","203.72"
"90034","1433.17"
"60047","535.63"
"50014","367.36"
"6066","NA"
"57022","209.69"
"10029","1206.14"
"93638","1367.72"
"37075","895.77"
"56240","90.73"
"33126","1712.58"
"60440","557.35"
"75013","949.35"
"48198","721.11"
"60637","571.95"
"45056","789.07"
"11212","1211.86"
"57013","245.87"
"49341","606.6"
"10928","1186.86"
"30032","1117.09"
"95032","1443.64"
"51031","282.94"
"55707","197.55"
"10468","1205.97"
"57601","197.62"
"94025","1444.43"
"6517","NA"
"60060","534.39"
"58258","84.51"
"55055","227.32"
"85012","1220.75"
"36701","1121.94"
"54208","463.16"
"56226","114.92"
"09128","6532.99"
"89014","1199.78"
"96612","6532.99"
"98001","1193.75"
"54482","NA"
"8081","NA"
"58652","262.25"
"60411","584.51"
"82716","459.14"
"33309","1690.95"
"98108","1193.92"
"98103","1194.17"
"56744","95.3"
"58352","155.74"
"58346","156.85"
"91913","1446.55"
"63117","654.95"
"39730","997.03"
"83669","979.96"
"91344","1425.13"
"36606","1209.46"
"60517","556.19"
"11722","1240.86"
"86327","1170.85"
"78827","1281.17"
"54403","368.22"
"1201","NA"
"55005","195.1"
"55047","222.76"
"80720","569.85"
"56452","107.19"
"56017","225.27"
"55943","330.61"
"56249","116.13"
"80723","570.59"
"60653","569.86"
"55975","305.22"
"56248","78.67"
"60409","581.55"
"58108","1.91"
"55972","303.03"
"56281","152.51"
"60652","569.4"
"55733","208.42"
"55085","237.26"
"97013","1241.1"
"74133","747.93"
"59468","690.72"
"30388","1118.54"
"98116","1197.56"
"924","NA"
"55726","183.13"
"60585","NA"
"66085","566.86"
"84098","848.42"
"54619","360.82"
"11758","1232.35"
"55012","214.26"
"33317","1692.92"
"56175","189.75"
"85044","1229.04"
"51041","268.82"
"99835","1756.15"
"29316","1118.79"
"56587","47.76"
"56260","148.89"
