"Application ID","Award Status","Comprehensive Cost","Total Gift","Total Institutional Gift","Gross Need"
"App ID-116480","Award Complete","41484.00","15880.00","15880.00","24576.00"
"App ID-75193","Award Complete","41484.00","21590.00","21340.00","31621.00"
"App ID-75317","Award Complete","41484.00","36622.00","31540.00","43556.00"
"App ID-127277","Award Complete","41484.00","26052.00","20540.00","38321.00"
"App ID-75352","Award Complete","41484.00","34500.00","34500.00","3709.00"
"App ID-75411","No Award","41484.00","0.00","","44474.00"
"App ID-75462","Award Complete","41484.00","22040.00","22040.00","31493.00"
"App ID-75466","Award Complete","41484.00","4628.00","0.00","14834.00"
"App ID-75372","Award Complete","41484.00","40722.00","31230.00","43877.00"
"App ID-75422","Award Complete","41484.00","22090.00","22090.00","32491.00"
"App ID-75442","Award Complete","41484.00","39274.00","30770.00","39856.00"
"App ID-75853","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75405","Award Complete","41484.00","37960.00","37960.00","22072.00"
"App ID-75283","Award Complete","41484.00","26096.00","18260.00","39514.00"
"App ID-75215","Award Complete","41484.00","17500.00","17500.00","16850.00"
"App ID-75490","Award Complete","41484.00","30344.00","20500.00","43251.00"
"App ID-75785","Award Complete","41484.00","29030.00","16300.00","44674.00"
"App ID-75877","Award Complete","41484.00","24267.00","24267.00","37441.00"
"App ID-75788","Award Complete","41484.00","0.00","0.00","25593.00"
"App ID-75512","Award Complete","41484.00","16500.00","16500.00","16755.00"
"App ID-75842","Award Complete","41484.00","23750.00","23750.00","31680.00"
"App ID-75329","Award Complete","41484.00","23746.00","23130.00","32387.00"
"App ID-75472","Award Complete","41484.00","27566.00","22840.00","38336.00"
"App ID-75079","Award Complete","41484.00","9500.00","9500.00","0.00"
"App ID-75883","Award Complete","41484.00","33900.00","33900.00","31478.00"
"App ID-75631","No Award","41484.00","0.00","","31442.00"
"App ID-75838","Award Complete","41484.00","17500.00","17500.00","3243.00"
"App ID-75826","Award Complete","41484.00","43780.00","43780.00","39943.00"
"App ID-75873","Award Complete","41484.00","28580.00","24700.00","42663.00"
"App ID-75279","Award Complete","41484.00","28110.00","22104.00","38920.00"
"App ID-75447","Award Complete","41484.00","27244.00","18450.00","42422.00"
"App ID-75424","Award Complete","41484.00","20300.00","20300.00","29863.00"
"App ID-75654","Award Complete","41484.00","18720.00","18720.00","23401.00"
"App ID-75922","Award Complete","41484.00","17650.00","17650.00","22063.00"
"App ID-75928","Award Complete","41484.00","26960.00","25380.00","40063.00"
"App ID-75478","Award Complete","41484.00","26272.00","20510.00","38564.00"
"App ID-75427","Award Complete","41484.00","19000.00","19000.00","19463.00"
"App ID-75694","Award Complete","41484.00","47584.00","37250.00","43567.00"
"App ID-75292","Award Complete","41484.00","15500.00","15500.00","9292.00"
"App ID-75793","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75674","Award Complete","41484.00","15500.00","15500.00","0.00"
"App ID-75500","Award Complete","41484.00","32500.00","32500.00","0.00"
"App ID-75569","Award Complete","41484.00","27496.00","22340.00","40178.00"
"App ID-75081","Award Complete","41484.00","20000.00","20000.00","0.00"
"App ID-75812","Award Complete","41484.00","12000.00","12000.00","0.00"
"App ID-75833","Award Complete","41484.00","26950.00","22770.00","39955.00"
"App ID-75796","Award Complete","41484.00","16500.00","16500.00","5250.00"
"App ID-75846","Award Complete","41484.00","16000.00","16000.00","0.00"
"App ID-75244","Award Complete","41484.00","30596.00","25500.00","44168.00"
"App ID-75408","No Award","41484.00","0.00","","44474.00"
"App ID-75296","Award Complete","41484.00","26500.00","26500.00","0.00"
"App ID-75284","Award Complete","41484.00","20500.00","20500.00","14572.00"
"App ID-75610","Award Complete","41484.00","38560.00","38560.00","23964.00"
"App ID-75632","Award Complete","41484.00","27663.00","17487.00","44474.00"
