"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"01571",NA,68053,11633,10888,0.936,NA,NA
"01581",NA,100552,18481,13642,0.7382,NA,NA
"01583",NA,73474,7687,6833,0.8889,NA,NA
"01585",NA,60521,4705,4472,0.9505,NA,NA
"01588",NA,66591,9569,9017,0.9423,NA,NA
"01590",NA,111788,9014,8839,0.9806,NA,NA
"01602",NA,62888,24228,19311,0.7971,NA,NA
"01603",NA,46367,20380,14735,0.723,NA,NA
"01604",NA,47865,34628,25877,0.7473,NA,NA
"01605",NA,36497,27387,16910,0.6174,NA,NA
"01606",NA,66411,19043,15538,0.8159,NA,NA
"01607",NA,42397,8991,6254,0.6956,NA,NA
"01608",NA,21412,3351,2134,0.6368,NA,NA
"01609",NA,41647,20948,15973,0.7625,NA,NA
"01610",NA,31136,23885,15578,0.6522,NA,NA
"01611",NA,64598,2458,2256,0.9178,NA,NA
"01612",NA,102614,4879,4281,0.8774,NA,NA
"01701",NA,88498,31780,26608,0.8373,NA,NA
"01702",NA,52428,38180,25602,0.6706,NA,NA
"01718",NA,135179,303,206,0.6799,NA,NA
"01719",NA,103996,5102,4008,0.7856,NA,NA
"01720",NA,119342,22197,16925,0.7625,NA,NA
"01721",NA,102721,16985,14684,0.8645,NA,NA
"01730",NA,114676,13709,11536,0.8415,NA,NA
"01731",NA,79063,1893,1596,0.8431,NA,NA
"01740",NA,144461,5019,4843,0.9649,NA,NA
"01741",NA,157500,4967,4356,0.877,NA,NA
"01742",NA,132736,18948,16463,0.8689,NA,NA
"01745",NA,117955,309,229,0.7411,NA,NA
"01746",NA,108350,14008,13307,0.95,NA,NA
"01747",NA,99886,5934,5618,0.9467,NA,NA
"01748",NA,128267,15604,14418,0.924,NA,NA
"01749",NA,74082,19464,17652,0.9069,NA,NA
"01752",NA,71424,39141,31222,0.7977,NA,NA
"01754",NA,79252,10314,9092,0.8815,NA,NA
"01756",NA,112104,5895,5647,0.9579,NA,NA
"01757",NA,68784,28391,24385,0.8589,NA,NA
"01760",NA,99172,34043,29431,0.8645,NA,NA
"01770",NA,155564,4200,3953,0.9412,NA,NA
"01772",NA,155952,9560,7813,0.8173,NA,NA
"01773",NA,143897,5367,4512,0.8407,NA,NA
"01775",NA,131500,6841,6463,0.9447,NA,NA
