"ID","Date.App.Submitted","Date.App.Completed","Date.Deposited","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received"
"App ID-241044","2015-12-28","2016-01-08",NA,"2016-02-23",NA,"2016-02-01",NA
"App ID-241045","2015-12-28","2016-01-12",NA,NA,NA,NA,NA
"App ID-241046","2015-12-28","2016-01-07",NA,NA,NA,NA,NA
"App ID-241050","2015-12-28",NA,NA,NA,NA,NA,NA
"App ID-241052","2015-12-28","2016-01-11",NA,NA,NA,NA,NA
"App ID-241053","2015-12-28","2016-01-07","2016-04-28","2016-04-12","2016-04-12",NA,NA
"App ID-241057","2015-12-28",NA,NA,NA,NA,NA,NA
"App ID-241059","2015-12-28","2016-01-06",NA,"2016-02-17",NA,NA,NA
"App ID-241060","2015-12-28","2015-12-29","2016-05-05","2016-02-10","2016-03-09","2016-02-01","2016-07-11"
"App ID-241061","2015-12-28","2016-01-06",NA,NA,NA,NA,NA
"App ID-241062","2015-12-28","2016-01-05",NA,NA,NA,NA,NA
"App ID-241064","2015-12-28","2016-01-05",NA,"2016-02-22","2016-03-11",NA,NA
"App ID-241065","2015-12-28","2016-01-05","2016-04-29","2016-04-25","2016-04-25",NA,NA
"App ID-241067","2015-12-28","2016-01-12",NA,NA,NA,NA,NA
"App ID-241068","2015-12-28","2016-01-25",NA,NA,NA,NA,NA
"App ID-243447","2016-01-27","2016-02-01",NA,"2016-02-17","2016-03-09",NA,NA
"App ID-244324","2015-12-29","2015-12-30",NA,NA,NA,NA,NA
"App ID-244325","2015-12-29","2015-12-30",NA,"2016-02-05","2016-03-07",NA,NA
"App ID-244327","2015-12-29","2016-01-06",NA,"2016-03-23",NA,"2016-02-01",NA
"App ID-244333","2015-12-29","2016-01-04",NA,NA,NA,NA,NA
"App ID-244347","2016-01-11","2016-01-13",NA,"2016-04-14",NA,NA,NA
"App ID-244351","2015-12-30","2016-01-08",NA,NA,NA,NA,NA
"App ID-244353","2015-12-30","2016-01-08","2016-04-28","2016-03-22",NA,NA,NA
"App ID-244354","2015-12-30","2016-01-05",NA,"2016-02-26","2016-03-14",NA,NA
"App ID-244355","2015-12-30","2016-01-11",NA,"2016-03-08","2016-03-15",NA,NA
"App ID-244384","2016-04-13","2016-05-17",NA,NA,NA,NA,NA
"App ID-244413","2015-12-22","2016-01-08",NA,NA,NA,NA,NA
"App ID-244418","2016-01-12","2016-01-21","2016-02-11","2016-03-02","2016-03-15",NA,NA
"App ID-244427","2016-02-09","2016-02-09","2016-03-17","2016-02-29","2016-03-14",NA,NA
