"Active Application Record","Campus Visit Date/Time","Visit Date","Campus Visit: Record Type"
"App ID-75329","2/3/2014 1:30 PM","2/3/2014","Regents Scholarship Event"
"App ID-75330","7/12/2013 12:00 AM","7/12/2013","Daily Campus Visit"
"App ID-75331","10/12/2013 12:00 AM","10/12/2013","Daily Campus Visit"
"App ID-75331","3/7/2014 9:00 AM","3/7/2014","Daily Campus Visit"
"App ID-75331","1/22/2014 9:00 AM","1/22/2014","Daily Campus Visit"
"App ID-75331","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75332","4/25/2013 12:00 AM","4/25/2013","Daily Campus Visit"
"App ID-75333","8/22/2013 12:00 AM","8/22/2013","Daily Campus Visit"
"App ID-75334","6/24/2013 12:00 AM","6/24/2013","MPCW"
"App ID-75334","2/11/2014 11:00 AM","2/11/2014","Daily Campus Visit"
"App ID-75334","12/13/2013 1:00 PM","12/13/2013","Daily Campus Visit"
"App ID-75335","8/6/2013 12:00 AM","8/6/2013","Daily Campus Visit"
"App ID-75337","2/14/2014 9:00 AM","2/14/2014","Daily Campus Visit"
"App ID-75339","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75339","6/27/2013 12:00 AM","6/27/2013","MPCW"
"App ID-75341","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75342","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75344","12/6/2013 2:00 PM","12/6/2013","Daily Campus Visit"
"App ID-75344","3/14/2013 12:00 AM","3/14/2013","Daily Campus Visit"
"App ID-75346","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75346","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75346","2/8/2014 10:00 AM","2/8/2014","Daily Campus Visit"
"App ID-75347","1/17/2014 1:30 PM","1/17/2014","Presidential Distinction Scholarship"
"App ID-75347","7/12/2013 12:00 AM","7/12/2013","Daily Campus Visit"
"App ID-75348","9/7/2013 12:00 AM","9/7/2013","Daily Campus Visit"
"App ID-75348","1/29/2014 9:00 AM","1/29/2014","Daily Campus Visit"
"App ID-75349","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75349","1/13/2014 4:00 PM","1/13/2014","Daily Campus Visit"
"App ID-75349","2/13/2014 3:30 PM","2/13/2014","Daily Campus Visit"
"App ID-75349","3/22/2014 10:00 AM","3/22/2014","Cobber Celebration"
"App ID-75351","10/12/2013 12:00 AM","10/12/2013","Daily Campus Visit"
"App ID-75351","4/8/2013 12:00 AM","4/8/2013","Daily Campus Visit"
"App ID-75351","2/11/2014 9:00 AM","2/11/2014","Daily Campus Visit"
"App ID-75352","11/15/2013 8:30 AM","11/15/2013","Presidential Distinction Scholarship"
"App ID-75355","8/30/2013 12:00 AM","8/30/2013","Daily Campus Visit"
"App ID-75355","2/3/2014 1:30 PM","2/3/2014","Regents Scholarship Event"
"App ID-75356","2/17/2014 1:00 PM","2/17/2014","Daily Campus Visit"
"App ID-75356","1/28/2014 10:00 AM","1/28/2014","Daily Campus Visit"
"App ID-75357","8/16/2013 12:00 AM","8/16/2013","Daily Campus Visit"
"App ID-75358","8/13/2013 12:00 AM","8/13/2013","Visit Day: August Visit Day"
"App ID-75359","7/12/2013 12:00 AM","7/12/2013","Daily Campus Visit"
"App ID-75360","6/19/2013 12:00 AM","6/19/2013","Daily Campus Visit"
"App ID-75362","11/15/2013 12:45 PM","11/15/2013","Daily Campus Visit"
"App ID-75364","2/7/2014 1:30 PM","2/7/2014","Presidential Distinction Scholarship"
"App ID-75364","8/13/2013 12:00 AM","8/13/2013","Visit Day: August Visit Day"
"App ID-75364","8/12/2013 12:00 AM","8/12/2013","Visit Day: August Visit Day"
"App ID-75365","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75365","10/18/2013 12:00 AM","10/18/2013","EDMN/NDEA"
"App ID-75366","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75367","1/23/2014 3:00 PM","1/23/2014","Music Performance Scholarship"
"App ID-75368","6/26/2013 12:00 AM","6/26/2013","MPCW"
"App ID-75368","1/27/2014 1:30 PM","1/27/2014","Regents Scholarship Event"
"App ID-75368","12/12/2013 8:30 PM","12/12/2013","Christmas Concerts"
"App ID-75369","12/12/2013 8:30 PM","12/12/2013","Christmas Concerts"
"App ID-75369","1/31/2014 1:30 PM","1/31/2014","Regents Scholarship Event"
"App ID-75370","1/17/2014 1:30 PM","1/17/2014","Visual Arts Scholarship"
"App ID-75371","10/17/2013 12:00 AM","10/17/2013","EDMN/NDEA"
