"zip","distance","Median.Income","Total","White","Pct.White"
"01745",NA,117955,309,229,0.7411
"01746",NA,108350,14008,13307,0.95
"01747",NA,99886,5934,5618,0.9467
"01748",NA,128267,15604,14418,0.924
"01749",NA,74082,19464,17652,0.9069
"01752",NA,71424,39141,31222,0.7977
"01754",NA,79252,10314,9092,0.8815
"01756",NA,112104,5895,5647,0.9579
"01757",NA,68784,28391,24385,0.8589
"01760",NA,99172,34043,29431,0.8645
"01770",NA,155564,4200,3953,0.9412
"01772",NA,155952,9560,7813,0.8173
"01773",NA,143897,5367,4512,0.8407
"01775",NA,131500,6841,6463,0.9447
"01776",NA,169505,18197,16180,0.8892
"01778",NA,141083,13421,11675,0.8699
"01801",NA,79034,39315,33660,0.8562
"01803",NA,95465,25190,20137,0.7994
"01810",1282.36,125321,34251,28758,0.8396
"01821",NA,91605,31157,28585,0.9175
"01824",NA,103411,25582,23043,0.9008
"01826",NA,76879,30315,26824,0.8848
"01827",NA,116125,3299,3131,0.9491
"01830",NA,55237,26415,21614,0.8182
"01832",NA,60351,22137,18268,0.8252
"01833",NA,106898,8379,8049,0.9606
"01834",NA,92898,6805,6658,0.9784
"01835",NA,74156,13217,11833,0.8953
"01840",NA,18140,4799,1654,0.3447
"01841",NA,32367,47125,16965,0.36
"01843",NA,43920,25440,10447,0.4107
"01844",NA,68587,48159,38145,0.7921
"01845",NA,100544,28963,25433,0.8781
"01850",NA,51556,16198,10606,0.6548
"01851",NA,52031,30379,13187,0.4341
"01852",NA,48690,32735,20957,0.6402
"01854",NA,42948,29214,17168,0.5877
"01860",NA,80508,6536,6505,0.9953
"01862",NA,98305,10904,9716,0.891
"01863",NA,74695,8913,7906,0.887
"01864",NA,112419,15249,13780,0.9037
"01867",NA,104472,24687,23084,0.9351
"01876",NA,88794,29103,27245,0.9362
"01879",NA,93108,11867,10856,0.9148
"01880",NA,85694,25460,24069,0.9454
"01886",NA,125143,22854,18764,0.821
"01887",NA,100536,22907,21189,0.925
"01890",NA,141829,21863,18803,0.86
"01901",NA,22614,1807,849,0.4698
"01902",NA,37786,46119,21418,0.4644
"01904",NA,81258,18053,14602,0.8088
"01905",NA,47694,25269,12585,0.498
"01906",NA,76141,27369,25444,0.9297
"01907",NA,96510,14123,13472,0.9539
"01908",NA,65083,3451,3278,0.9499
"01913",NA,76463,16554,15553,0.9395
"01915",NA,73980,40370,38011,0.9416
"01921",NA,127813,8105,7597,0.9373
"01922",NA,111806,2649,2595,0.9796
"01923",NA,77404,26963,25389,0.9416
"01929",NA,89185,3580,3477,0.9712
"01930",NA,60229,29237,28054,0.9595
"01937",NA,NA,112,105,0.9375
"01938",NA,77901,13480,13208,0.9798
"01940",NA,109099,12704,11839,0.9319
"01944",NA,89313,5247,5133,0.9783
"01945",NA,100709,20163,19616,0.9729
"01949",NA,105646,9273,7860,0.8476
"01950",NA,83149,17662,17048,0.9652
"01951",NA,90969,4145,4089,0.9865
"01952",NA,75995,8495,8057,0.9484
"01960",NA,62137,51597,45849,0.8886
"01966",NA,70288,7078,6807,0.9617
"01969",NA,85994,5995,5882,0.9812
"01970",NA,58937,42151,33918,0.8047
"01982",NA,108558,8098,7342,0.9066
"01983",NA,121157,6286,5943,0.9454
"01984",NA,116875,5039,4759,0.9444
"01985",NA,122969,4370,4306,0.9854
"02019",NA,87417,16564,15676,0.9464
"02021",NA,90878,22036,18644,0.8461
"02025",NA,117679,8100,7991,0.9865
"02026",NA,85558,25111,21672,0.863
"02030",NA,176250,5727,4972,0.8682
"02032",NA,81513,4103,3546,0.8642
"02035",NA,94538,17129,16017,0.9351
"02038",NA,101980,32393,30195,0.9321
"02043",NA,103350,22550,21656,0.9604
"02045",NA,77440,10324,9755,0.9449
"02047",NA,NA,125,125,1
"02048",NA,93082,23389,20630,0.882
"02050",NA,88750,25543,24330,0.9525
"02052",NA,143641,12236,11307,0.9241
"02053",NA,109841,12965,12170,0.9387
"02054",NA,96773,8007,7688,0.9602
"02056",NA,143682,11407,9985,0.8753
"02061",NA,110671,10651,10262,0.9635
"02062",1292.74,79963,28844,24274,0.8416
"02066",NA,104275,18002,17057,0.9475
"02067",NA,126773,17703,13409,0.7574
"02071",NA,121635,1911,1467,0.7677
"02072",NA,74688,27833,22855,0.8211
"02081",NA,90470,18855,17653,0.9363
"02090",NA,128813,14809,13621,0.9198
"02093",NA,99302,11169,11021,0.9867
"02108",NA,99187,4049,3520,0.8694
"02109",NA,104393,3993,3432,0.8595
"02110",NA,115208,1906,1619,0.8494
"02111",NA,50783,7505,3560,0.4744
"02113",NA,69398,7360,6898,0.9372
"02114",NA,86601,12801,9786,0.7645
"02115",NA,27456,29465,20634,0.7003
"02116",NA,93605,22229,17071,0.768
"02118",NA,62208,27534,14727,0.5349
"02119",NA,27159,25734,4110,0.1597
"02120",NA,32828,15073,7510,0.4982
"02121",NA,26530,27459,2054,0.0748
"02122",NA,53576,25613,8657,0.338
"02124",NA,47297,51544,11350,0.2202
"02125",NA,45581,33937,11872,0.3498
"02126",NA,44792,28279,2595,0.0918
"02127",NA,72472,34732,28071,0.8082
"02128",NA,50336,44512,27442,0.6165
"02129",NA,87387,17954,13567,0.7557
"02130",NA,78204,38214,24571,0.643
"02131",NA,63876,31733,18020,0.5679
"02132",NA,86233,28791,24179,0.8398
"02134",NA,38507,18277,12044,0.659
"02135",NA,46858,36486,27219,0.746
"02136",NA,61101,30207,11423,0.3782
"02138",NA,78534,36937,26977,0.7304
"02139",NA,73819,35783,23589,0.6592
"02140",NA,75658,17894,11334,0.6334
"02141",NA,66701,13344,8460,0.634
"02142",NA,104014,3030,1777,0.5865
"02143",NA,67461,25915,20420,0.788
"02144",NA,79435,24539,20074,0.818
"02145",NA,55774,24807,16758,0.6755
"02148",NA,55407,60293,33741,0.5596
"02149",NA,51133,42717,28180,0.6597
"02150",NA,48775,37074,18274,0.4929
"02151",NA,50881,53268,40343,0.7574
"02152",NA,64169,17992,16973,0.9434
"02155",NA,77945,59193,47000,0.794
"02163",NA,48646,2208,1460,0.6612
"02169",NA,60775,55408,37900,0.684
"02170",NA,63201,19318,12305,0.637
"02171",NA,72638,18194,10312,0.5668
"02176",NA,86409,27509,25306,0.9199
"02180",NA,76218,21611,20162,0.933
"02184",NA,87500,36543,30921,0.8462
"02186",NA,113087,27204,21157,0.7777
"02188",NA,70414,14642,12416,0.848
"02189",NA,60537,15128,12730,0.8415
"02190",NA,77471,16667,15096,0.9057
"02191",NA,67015,8378,8050,0.9608
"02199",NA,110284,1359,1221,0.8985
"02203",NA,NA,0,0,NA
"02210",NA,113622,1984,1847,0.9309
"02215",NA,36719,24046,16901,0.7029
"02301",NA,43694,59275,25226,0.4256
"02302",NA,60171,34992,19873,0.5679
"02322",NA,78750,4421,3487,0.7887
"02324",NA,88481,26931,23697,0.8799
"02330",NA,72804,11541,10969,0.9504
"02332",NA,120253,15208,14832,0.9753
"02333",NA,88534,13996,13567,0.9693
"02338",NA,69917,7629,7401,0.9701
"02339",NA,98750,14120,13598,0.963
"02341",NA,93771,10316,9855,0.9553
"02343",NA,62909,10795,9387,0.8696
"02346",NA,75727,23541,22310,0.9477
"02347",NA,82418,10933,10581,0.9678
"02351",NA,81500,16081,15098,0.9389
